text,label
"Your account has been locked. Click here immediately to verify your password.",1
"Urgent: your mailbox storage is full. Confirm your account now.",1
"You have won a gift card. Submit your banking information to receive it.",1
"Security alert: unusual login attempt. Verify your identity using this link.",1
"Your package could not be delivered. Pay the customs fee here now.",1
"Confirm your payment information to avoid account suspension.",1
"Votre compte a été suspendu. Cliquez ici pour vérifier votre mot de passe.",1
"Urgent : confirmez immédiatement votre identité pour éviter la fermeture du compte.",1
"Votre colis est bloqué. Payez les frais de livraison maintenant.",1
"Félicitations, vous avez été sélectionné pour recevoir un cadeau gratuit. Confirmez maintenant.",1
"Votre boîte mail est presque pleine. Vérifiez votre compte ici.",1
"Action requise : validez vos informations bancaires immédiatement.",1
"Nous avons détecté une connexion inhabituelle. Vérifiez votre identité via ce lien.",1
"Dépêchez-vous, offre limitée, obtenez votre récompense maintenant.",1
"Please review the attached invoice for this month’s payment.",0
"Can we move our team meeting to 3 PM tomorrow?",0
"Here is the project update discussed during the call.",0
"Thank you for your application. We will get back to you next week.",0
"Reminder: submit your timesheet before Friday evening.",0
"Hello team, please find the meeting notes attached.",0
"Bonjour, voici le compte rendu de réunion d’hier.",0
"Merci de trouver en pièce jointe la facture du mois.",0
"Peux-tu me confirmer ta disponibilité pour demain 14h ?",0
"Voici les documents demandés pour le projet.",0
"Je t’envoie le planning mis à jour pour la semaine prochaine.",0
"Rappel : réunion d’équipe vendredi à 10h.",0
